fic,date,portret,portretx,n,country,currency
SGP,1987-08-12,-0.009285511,-0.009285511,15,SINGAPORE,SGD
SGP,1987-08-13,-0.00809753,-0.00809753,15,SINGAPORE,SGD
SGP,1987-08-14,0.0025474197,0.0025474197,15,SINGAPORE,SGD
SGP,1987-08-17,-0.014874659,-0.014874659,15,SINGAPORE,SGD
SGP,1987-08-18,0.0079945448,0.0079945448,15,SINGAPORE,SGD
SGP,1987-08-19,-0.020335788,-0.020335788,15,SINGAPORE,SGD
SGP,1987-08-20,0.0026692987,0.0026692987,15,SINGAPORE,SGD
SGP,1987-08-21,0.001916625,0.0016523604,15,SINGAPORE,SGD
SGP,1987-08-24,0.0195237684,0.0195237684,15,SINGAPORE,SGD
SGP,1987-08-25,0.0094371293,0.0094371293,15,SINGAPORE,SGD
SGP,1987-08-26,-0.006897193,-0.006897193,15,SINGAPORE,SGD
SGP,1987-08-27,-0.001901228,-0.001901228,15,SINGAPORE,SGD
SGP,1987-08-28,-0.00872074,-0.00872074,15,SINGAPORE,SGD
SGP,1987-08-31,-0.011006683,-0.011006683,15,SINGAPORE,SGD
SGP,1987-09-01,-0.024551111,-0.024551111,15,SINGAPORE,SGD
SGP,1987-09-02,0.0133406611,0.0133406611,15,SINGAPORE,SGD
SGP,1987-09-03,-0.024988299,-0.024988299,15,SINGAPORE,SGD
SGP,1987-09-07,0.0097761855,0.0097761855,15,SINGAPORE,SGD
SGP,1987-09-08,0.0180733936,0.0180733936,15,SINGAPORE,SGD
SGP,1987-09-09,0.0069897007,0.0067301563,15,SINGAPORE,SGD
SGP,1987-09-10,-0.003033636,-0.003033636,15,SINGAPORE,SGD
SGP,1987-09-11,0.0045941453,0.0045941453,15,SINGAPORE,SGD
SGP,1987-09-14,-0.00266391,-0.00266391,15,SINGAPORE,SGD
SGP,1987-09-15,-0.010125967,-0.010125967,15,SINGAPORE,SGD
SGP,1987-09-16,-0.017162006,-0.017162006,15,SINGAPORE,SGD
SGP,1987-09-17,-0.01172599,-0.01172599,15,SINGAPORE,SGD
SGP,1987-09-18,-0.008054584,-0.008054584,15,SINGAPORE,SGD
SGP,1987-09-21,-0.03591286,-0.03591286,15,SINGAPORE,SGD
SGP,1987-09-22,0.014660434,0.014660434,15,SINGAPORE,SGD
SGP,1987-09-23,-0.003717636,-0.003717636,15,SINGAPORE,SGD
SGP,1987-09-24,0.0111763253,0.0111763253,15,SINGAPORE,SGD
SGP,1987-09-25,-0.004238983,-0.004238983,15,SINGAPORE,SGD
SGP,1987-09-28,0.0247710239,0.0247710239,15,SINGAPORE,SGD
SGP,1987-09-30,-0.011404396,-0.011404396,15,SINGAPORE,SGD
