gamma,regime_source,rebalance_month,strategy,success,objective,VaR_v,theta_used,robust_norm_value,robust_penalty_component,max_weight,effective_n_assets,predicted_state,predicted_state_prob,regime_weight_max,regime_weight_argmax,message
0.06,altdata_bnmeanrank_hmm,2018-07-01,DR-CVaR,True,0.1764253439504962,0.07577529999999999,0.03717347197524814,0.1,0.07434694395049621,0.1,9.999999999999996,2,0.9990471007755868,0.9991638891762569,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-07-01,RS-CVaR,True,0.0718644666711536,0.05402610775339991,0.0,1.0,0.0,0.6048548471414883,2.2498355746180847,2,0.9990471007755868,0.9991638891762569,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-07-01,RSDR-CVaR,True,0.17666188888602996,0.07577529999999999,0.03718351885143476,0.09999999999999977,0.07436703770286929,0.10000000000000343,10.000000000000007,2,0.9990471007755868,0.9991638891762569,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-08-01,SAA-CVaR,True,0.07171887092306853,0.05402610775339991,0.0,1.0,0.0,0.6048548471414883,2.2498355746180847,2,0.9994683821912983,0.9995149928068368,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-08-01,DR-CVaR,True,0.17642534395049753,0.07577530000000121,0.03717347197524814,0.10000000000000095,0.07434694395049692,0.10000000000000743,9.99999999999975,2,0.9994683821912983,0.9995149928068368,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-08-01,RS-CVaR,True,0.07171887092306854,0.05402610775339991,0.0,1.0,0.0,0.6048548471414883,2.2498355746180847,2,0.9994683821912983,0.9995149928068368,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-08-01,RSDR-CVaR,True,0.17638928514789182,0.07577530000000121,0.03715544257394529,0.10000000000000095,0.07431088514789122,0.10000000000000743,9.99999999999975,2,0.9994683821912983,0.9995149928068368,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-09-01,SAA-CVaR,True,0.07171887092306853,0.05402610775339991,0.0,1.0,0.0,0.6048548471414883,2.2498355746180847,2,0.9991578667812526,0.9992562430113402,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-09-01,DR-CVaR,True,0.17642534395049753,0.07577530000000121,0.03717347197524814,0.10000000000000095,0.07434694395049692,0.10000000000000743,9.99999999999975,2,0.9991578667812526,0.9992562430113402,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.06,altdata_bnmeanrank_hmm,2018-09-01,RS-CVaR,True,0.07171887092306854,0.05402610775339991,0.0,1.0,0.0,0.6048548471414883,2.2498355746180847,2,0.9991578667812526,0.9992562430113402,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
