gamma,rebalance_month,strategy,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0.02,2017-03-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2017-03-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2017-03-01,DR_CVaR_l1,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,2017-03-01,RSDR_CVaR_l1,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.0,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113,0.11111111111111113
0.02,2017-04-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2017-04-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2017-04-01,DR_CVaR_l1,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,2017-04-01,RSDR_CVaR_l1,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112
0.02,2017-05-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2017-05-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2017-05-01,DR_CVaR_l1,0.11742501108928505,0.030134198517818803,0.11510784975248729,0.0327828741046987,0.11742501108928499,0.11742501108928506,0.11742501108928505,0.11742501108928505,0.11742501108928505,0.11742501108928505
0.02,2017-05-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0.02,2017-06-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2017-06-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2017-06-01,DR_CVaR_l1,0.11742501108928485,0.030134198517817665,0.11510784975248844,0.032782874104700016,0.11742501108928494,0.11742501108928487,0.11742501108928487,0.11742501108928487,0.11742501108928487,0.11742501108928487
0.02,2017-06-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0.02,2017-07-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2017-07-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6751136363636364,0.3248863636363636,0.0,0.0
0.02,2017-07-01,DR_CVaR_l1,0.11742501108928484,0.030134198517817193,0.11510784975248883,0.03278287410470003,0.11742501108928491,0.11742501108928484,0.11742501108928484,0.11742501108928484,0.11742501108928484,0.11742501108928484
0.02,2017-07-01,RSDR_CVaR_l1,0.10948595575626092,0.10948595575626104,0.10948595575626097,0.014626398193648365,0.10948595575626577,0.10948595575626172,0.10948595575626152,0.10948595575626223,0.10948595575626104,0.10948595575626104
0.02,2017-08-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2017-08-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2017-08-01,DR_CVaR_l1,0.11742501108928498,0.030134198517817772,0.11510784975248797,0.03278287410469909,0.11742501108928498,0.11742501108928509,0.1174250110892888,0.11742501108928385,0.1174250110892844,0.11742501108928483
0.02,2017-08-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.11111111111111116,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0.02,2017-09-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2017-09-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7817057271804796,0.1459673187022619,0.07232695411725851,0.0
0.02,2017-09-01,DR_CVaR_l1,0.11742501108928499,0.03013419851781845,0.11510784975248767,0.032782874104698996,0.11742501108928496,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499
0.02,2017-09-01,RSDR_CVaR_l1,0.10985112406096002,0.10985112406096002,0.10230207529259328,0.01888893221972654,0.10985112406096001,0.10985112406096002,0.10985112406096002,0.10985112406096002,0.10985112406096002,0.10985112406096002
0.02,2017-10-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2017-10-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2017-10-01,DR_CVaR_l1,0.11742501108928499,0.03013419851781845,0.11510784975248767,0.032782874104698996,0.11742501108928496,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499
0.02,2017-10-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0.02,2017-11-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2017-11-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2017-11-01,DR_CVaR_l1,0.11742501108928499,0.03013419851781845,0.11510784975248767,0.032782874104698996,0.11742501108928496,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499
0.02,2017-11-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0.02,2017-12-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2017-12-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7267950578199887,0.27320494218001135,0.0,0.0
0.02,2017-12-01,DR_CVaR_l1,0.11742501108928499,0.03013419851781845,0.11510784975248767,0.032782874104698996,0.11742501108928496,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499
0.02,2017-12-01,RSDR_CVaR_l1,0.10985112406096015,0.10985112406096015,0.10230207529259212,0.018888932219726384,0.10985112406096004,0.10985112406096025,0.10985112406096015,0.1098511240609611,0.10985112406096015,0.10985112406095872
0.02,2018-01-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.02,2018-01-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,2018-01-01,DR_CVaR_l1,0.11742501108928499,0.03013419851781845,0.11510784975248767,0.032782874104698996,0.11742501108928496,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499,0.11742501108928499
0.02,2018-01-01,RSDR_CVaR_l1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
0.02,2018-02-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.6444902407181623,0.3555097592818377,0.0,0.0
