gamma,rebalance_month,strategy,var_v,objective,theta_used,max_weight,herfindahl,effective_n_assets,solver,dual_norm,prev_month,prev_hard_regime
0.1,2018-06-01,SAA_CVaR,0.05274957014937769,0.07184157659159408,0.0,0.6120209534336584,0.4505675465292723,2.2194230536642356,linprog-highs,0.6120209534336584,2018-05-01,Steady_State
0.1,2018-06-01,RS_CVaR,0.0422845549001379,0.05621554063426227,0.0,0.444321224179712,0.36342967443777663,2.7515639760209276,linprog-highs,0.444321224179712,2018-05-01,Steady_State
0.1,2018-06-01,DR_CVaR_l1,0.0757752999999988,0.22598997325082346,0.06195578662541357,0.10000000000000375,0.09999999999999797,10.000000000000204,linprog-highs,0.0999999999999976,2018-05-01,Steady_State
0.1,2018-06-01,RSDR_CVaR_l1,0.056061599999999996,0.21484053425444988,0.06765818694279452,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2018-05-01,Steady_State
0.1,2018-07-01,SAA_CVaR,0.05402610775339991,0.07171887092306853,0.0,0.6048548471414883,0.44447692590590876,2.2498355746180847,linprog-highs,0.6048548471414883,2018-06-01,Steady_State
0.1,2018-07-01,RS_CVaR,0.03982753960058237,0.055640692025762904,0.0,0.3436514367697522,0.3334988859007769,2.99851076653228,linprog-highs,0.3436514367697522,2018-06-01,Steady_State
0.1,2018-07-01,DR_CVaR_l1,0.07577529999999999,0.22598997325082698,0.06195578662541357,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2018-06-01,Steady_State
0.1,2018-07-01,RSDR_CVaR_l1,0.05084489999999997,0.2114417099989867,0.06765541681996166,0.10000000000000063,0.09999999999999981,10.00000000000002,linprog-highs,0.09999999999999971,2018-06-01,Steady_State
0.1,2018-08-01,SAA_CVaR,0.05402610775339991,0.07171887092306853,0.0,0.6048548471414883,0.44447692590590876,2.2498355746180847,linprog-highs,0.6048548471414883,2018-07-01,Steady_State
0.1,2018-08-01,RS_CVaR,0.04381597240102751,0.060158573030588414,0.0,0.40707898604011317,0.3414958511118659,2.9282932625510107,linprog-highs,0.40707898604011317,2018-07-01,Steady_State
0.1,2018-08-01,DR_CVaR_l1,0.07577530000000121,0.22598997325082879,0.06195578662541357,0.10000000000000743,0.1000000000000025,9.99999999999975,linprog-highs,0.10000000000000095,2018-07-01,Steady_State
0.1,2018-08-01,RSDR_CVaR_l1,0.0560616,0.21943776719382008,0.06796139368304101,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2018-07-01,Steady_State
0.1,2018-09-01,SAA_CVaR,0.05402610775339991,0.07171887092306853,0.0,0.6048548471414883,0.44447692590590876,2.2498355746180847,linprog-highs,0.6048548471414883,2018-08-01,Steady_State
0.1,2018-09-01,RS_CVaR,0.04381597240102751,0.0559530146542401,0.0,0.40707898604011317,0.3414958511118659,2.9282932625510107,linprog-highs,0.40707898604011317,2018-08-01,Steady_State
0.1,2018-09-01,DR_CVaR_l1,0.07577530000000121,0.22598997325082879,0.06195578662541357,0.10000000000000743,0.1000000000000025,9.99999999999975,linprog-highs,0.10000000000000095,2018-08-01,Steady_State
0.1,2018-09-01,RSDR_CVaR_l1,0.05084490000000042,0.21193394753177378,0.06761633841259668,0.10000000000000239,0.10000000000000192,9.999999999999808,linprog-highs,0.10000000000000109,2018-08-01,Steady_State
0.1,2018-10-01,SAA_CVaR,0.04381597240102751,0.06916566945018322,0.0,0.40707898604011317,0.3414958511118659,2.9282932625510107,linprog-highs,0.40707898604011317,2018-09-01,Steady_State
0.1,2018-10-01,RS_CVaR,0.03982753960058237,0.055677894296058926,0.0,0.3436514367697522,0.3334988859007769,2.99851076653228,linprog-highs,0.3436514367697522,2018-09-01,Steady_State
0.1,2018-10-01,DR_CVaR_l1,0.06810920000000001,0.22095652325082699,0.06195578662541357,0.1,0.1,10.0,linprog-highs,0.1,2018-09-01,Steady_State
0.1,2018-10-01,RSDR_CVaR_l1,0.05084490000000001,0.2115673438397958,0.06756533480895788,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2018-09-01,Steady_State
0.1,2018-11-01,SAA_CVaR,0.03413249387157904,0.0525353040531299,0.0,0.373632687979145,0.2724371179735884,3.670571790797412,linprog-highs,0.373632687979145,2018-10-01,WOI
0.1,2018-11-01,RS_CVaR,0.056098929063741206,0.05719157686507459,0.0,0.5972423623274752,0.5055926180854797,1.9778769788741883,linprog-highs,0.5972423623274752,2018-10-01,WOI
0.1,2018-11-01,DR_CVaR_l1,0.0639095,0.20348712325082702,0.06195578662541357,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2018-10-01,WOI
0.1,2018-11-01,RSDR_CVaR_l1,0.06810920000000001,0.2253495848577751,0.06909943638391872,0.1,0.10000000000000003,9.999999999999996,linprog-highs,0.1,2018-10-01,WOI
