,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
2013-12-01,2,0,1.5507189185380688e-09,1.3830549248100722e-34,1.2800881616039705e-05,0.9999871975675042,1.5507189185380688e-09,2.235159531293789e-27,7.590972049746331e-16
2014-01-01,2,0,1.7456919677734046e-08,8.686824087514118e-34,3.42527305901128e-06,0.9999965572701658,1.7456919677734046e-08,4.892464140179558e-27,2.436291103047756e-16
2014-02-01,2,0,4.782887664938825e-10,3.206342170130158e-34,1.2573561416522884e-05,0.9999874259600989,4.782887664938825e-10,8.016116167914826e-28,1.9691016201710232e-16
2014-03-01,2,0,5.486499186487347e-10,3.108793660863069e-36,4.602740774684258e-06,0.9999953967104825,5.486499186487347e-10,2.2502154506151968e-27,4.111109954991623e-17
2014-04-01,2,0,9.185546510854425e-10,2.3718720932664576e-35,2.45903070802589e-06,0.999997540050869,9.185546510854425e-10,2.489894316108262e-28,8.997127973887498e-18
2014-05-01,2,0,6.244086113118145e-11,2.2892438299400013e-36,7.158681732474238e-06,0.9999928412559473,6.244086113118145e-11,4.990974006898704e-30,1.587772454701177e-17
2014-06-01,2,0,2.7652147479569807e-10,5.843071641514236e-38,4.759158623977092e-06,0.9999952405650704,2.7652147479569807e-10,5.1550758628818236e-30,1.8847325042001446e-17
2014-07-01,2,0,5.81435415997285e-10,4.500512114550798e-38,7.695227819912559e-07,0.9999992298956623,5.81435415997285e-10,3.6011118464826773e-29,6.5929934946801755e-19
2014-08-01,2,0,3.456422847387069e-11,7.085926093814404e-37,8.77686311358788e-06,0.9999912231022337,3.456422847387069e-11,2.8924292455741267e-31,6.7366495618770774e-18
2014-09-01,2,0,8.947272239537341e-10,2.4722583478230084e-39,5.53046193617598e-07,0.9999994460592176,8.947272239537341e-10,1.1582460319343834e-29,7.978253841459552e-19
2014-10-01,2,0,7.110813142956684e-11,3.117938547484706e-37,4.367064549893256e-06,0.9999956328642701,7.110813142956684e-11,6.9810551832889775e-31,1.2742899889468122e-18
2014-11-01,2,0,6.50231773629165e-08,4.502121460049221e-37,6.6460859845612734e-06,0.9999932888906737,6.50231773629165e-08,1.0493420380871321e-28,5.583072597823302e-18
2014-12-01,2,0,8.649978321711378e-08,1.1250115864515871e-35,3.245837747795005e-07,0.9999995889166647,8.649978321711378e-08,1.2073684560398829e-28,1.1444745363000713e-19
2015-01-01,2,0,6.269300817344934e-10,1.2984264973901003e-36,5.381320460178503e-07,0.9999994612409496,6.269300817344934e-10,1.0019133141021216e-31,1.1913913891460361e-20
2015-02-01,2,0,2.758665938268455e-10,5.0347352803411146e-39,5.233002353258535e-06,0.9999947667216077,2.758665938268455e-10,1.4477527403162508e-32,1.730788902773286e-18
2015-03-01,2,0,3.257745281264417e-10,1.4923788391810162e-40,9.699522288989137e-07,0.9999990297219643,3.257745281264417e-10,1.871450660128239e-30,1.5026747833707036e-18
2015-04-01,2,0,2.0467501340461864e-08,1.3881119802122408e-36,8.067521273034145e-05,0.9999193043195997,2.0467501340461864e-08,2.2857376064627616e-28,3.187710912430105e-16
2015-05-01,2,0,1.963486704609676e-09,2.9708035303594335e-36,6.20141039427756e-06,0.9999937966260002,1.963486704609676e-09,1.0093844920573127e-28,4.413677205708231e-16
2015-06-01,2,0,2.57744779913678e-10,1.2555094428650695e-36,6.5435306311179315e-06,0.9999934562115789,2.57744779913678e-10,1.2202317767581326e-27,4.5676389570690056e-17
2015-07-01,2,0,3.160994986361215e-07,9.972288763816074e-34,4.825291716963827e-07,0.9999992013712022,3.160994986361215e-07,1.7099369886853064e-27,5.34418686645088e-19
2015-08-01,2,0,1.5330583227403117e-08,1.12386928609158e-34,9.010164290022577e-06,0.9999909745049836,1.5330583227403117e-08,6.937721371051941e-29,1.3795155875172815e-18
2015-09-01,2,0,5.194059479150649e-09,1.9701990000113712e-36,4.020462522846056e-07,0.999999592759733,5.194059479150649e-09,1.1557877167687524e-30,4.0636641007389716e-19
2015-10-01,2,0,3.549225199022224e-10,1.277374693424623e-37,2.1594196374236544e-05,0.9999784054488086,3.549225199022224e-10,6.48201972473233e-30,1.2522111825962713e-17
2015-11-01,2,0,1.66096734892688e-08,7.719009919052956e-37,4.058030741166303e-06,0.9999959253597148,1.66096734892688e-08,1.278227707560126e-28,3.9944040797915354e-17
2015-12-01,2,0,4.98979082449069e-10,1.5258874235719822e-36,4.643217241238073e-07,0.9999995351791938,4.98979082449069e-10,1.0267652871275452e-28,3.8736956163299645e-19
2016-01-01,2,0,4.3801345563845266e-08,8.747546579418098e-34,1.2507628088975883e-05,0.9999874485707627,4.3801345563845266e-08,8.561549182292648e-28,1.5374647706386194e-18
2016-02-01,2,0,1.457872175026165e-09,5.9267700322382654e-36,3.767952973637102e-06,0.9999962305890323,1.457872175026165e-09,1.7442776471781586e-29,3.7988931199969077e-17
2016-03-01,2,0,6.256557595952229e-09,2.9086851289019982e-36,1.422576852156926e-05,0.9999857679748442,6.256557595952229e-09,1.5926239985573982e-28,1.18705208503003e-16
2016-04-01,2,0,5.152021495028301e-07,6.109266734469568e-34,0.00011603854750877408,0.9998834462502512,5.152021495028301e-07,1.2939592805854382e-26,2.585964588153588e-15
2016-05-01,2,0,1.1679453016969104e-08,1.3081054340724386e-33,8.988245852487974e-05,0.9999101058618352,1.1679453016969104e-08,2.781299011271347e-26,3.837197642035526e-14
2016-06-01,2,0,1.1058623537089633e-07,1.646635727480521e-32,0.00015132356736805797,0.9998485658465504,1.1058623537089633e-07,7.478518077166404e-25,5.583817272304453e-14
2016-07-01,2,0,2.528511847267699e-07,2.0261941332299283e-31,5.2370276232674e-06,0.9999945101213316,2.528511847267699e-07,2.1837297073297252e-24,5.128520764793736e-16
2016-08-01,2,0,2.564053519421935e-09,1.5700078516692118e-31,2.3796965157243485e-05,0.9999762004707885,2.564053519421935e-09,4.116257906572542e-27,1.1919195077205826e-16
2016-09-01,2,0,7.294299384578658e-09,5.8789094690335295e-34,3.8575324750017685e-05,0.9999614173811076,7.294299384578658e-09,5.244337835547376e-28,2.3106814968823886e-15
2016-10-01,2,0,2.5504569787004745e-09,8.710185696893383e-36,6.557487970887194e-06,0.9999934399617435,2.5504569787004745e-09,2.200564928003677e-26,3.291656662423006e-16
2016-11-01,2,0,3.7514238653721155e-09,3.1977539805867736e-33,4.167188525419759e-05,0.9999583243633193,3.7514238653721155e-09,8.921401156963962e-27,4.838779143998638e-16
2016-12-01,2,0,8.623557874680433e-09,1.4920724408559404e-33,0.00010617328669982477,0.9998938180894718,8.623557874680433e-09,3.076825383972289e-26,7.804858311764183e-14
2017-01-01,2,0,4.147183054225461e-09,7.910815323773887e-34,1.5005969843102455e-05,0.9999849898830354,4.147183054225461e-09,1.420911936060532e-25,4.118985586081275e-15
2017-02-01,2,0,9.145311609139758e-10,9.546648989830485e-33,5.0616517515437294e-05,0.9999493825681296,9.145311609139758e-10,3.5639097258390834e-26,6.225483275166068e-15
2017-03-01,2,0,1.3088294982188043e-08,5.129832298981464e-33,3.403150168022911e-05,0.9999659554102438,1.3088294982188043e-08,5.852260719144145e-25,3.5634723713031705e-15
2017-04-01,2,0,1.6527760887492352e-09,1.6702852759242462e-32,1.5244102152379032e-05,0.9999847542451632,1.6527760887492352e-09,4.047804429004745e-26,2.1576110177402032e-15
2017-05-01,2,0,1.1359471272561667e-09,3.5042797396916235e-33,4.9427396141548946e-05,0.9999505714678858,1.1359471272561667e-09,7.374334452796402e-26,5.349008610561717e-15
2017-06-01,2,0,4.371111145927992e-09,5.011463652655679e-33,2.0366973218528405e-05,0.9999796286557714,4.371111145927992e-09,2.397543933738623e-26,2.958830659692147e-15
2017-07-01,2,0,3.3892036359816665e-09,5.7619425685490904e-33,0.00015542769864516242,0.9998445689119124,3.3892036359816665e-09,5.295795413997519e-26,4.19891979683189e-14
2017-08-01,2,0,1.1450888495036247e-08,3.9368584496091516e-33,5.237571596675302e-05,0.999947612833067,1.1450888495036247e-08,4.75783646902133e-25,6.855375243144744e-14
2017-09-01,2,0,1.6510491815621797e-08,3.354693330631203e-31,0.0003745855176904062,0.9996253979713214,1.6510491815621797e-08,5.262703923291274e-24,2.980763025686785e-13
2017-10-01,2,0,1.0086317241801789e-07,2.2150825040990013e-30,0.00045313809996463326,0.9995467610315545,1.0086317241801789e-07,8.588029294784158e-23,5.138993404037574e-12
