,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
2010-04-01,3,0,0.0032869650602647448,1.9375049396556672e-16,2.563044628423647e-11,8.648266783106811e-15,0.9938458395445364,0.0032869650602647448,0.002867195369119412
2010-05-01,3,0,0.2561132514106572,5.755179571791088e-18,5.779465270289747e-13,1.0801739637597314e-15,0.7438132804683907,0.2561132514106572,7.346812065158449e-05
2010-06-01,4,1,0.9298149710774777,1.819387659134185e-18,2.8476186530735728e-11,1.3179197187205862e-16,0.0622802242651992,0.9298149710774777,0.007904804628501147
2010-07-01,5,0,0.14399051520855716,1.325373235367267e-16,1.3984934547703478e-08,4.671548217132829e-15,0.3490783002808155,0.14399051520855716,0.506931170525369
2010-08-01,5,0,0.25204928083397915,2.876951183577889e-14,3.4045402634708213e-07,4.283712671554881e-12,0.18681569290727937,0.25204928083397915,0.5611346858002878
2010-09-01,3,0,0.06730628948955243,5.549881979426251e-13,4.138685684500819e-07,4.7146199390414505e-11,0.48926850648436876,0.06730628948955243,0.44342479010953306
2010-10-01,3,0,0.04915005410112189,6.452353750259801e-14,1.65015344106263e-07,2.005546905916452e-12,0.8459304366323526,0.04915005410112189,0.10491934424887249
2010-11-01,3,0,0.00016852816125364735,1.7166885087679486e-19,7.426515625586832e-14,9.589302994577211e-19,0.9998295652959452,0.00016852816125364735,1.9065429648311836e-06
2010-12-01,3,0,0.0008220713713116664,6.796211721525649e-19,2.94923101531366e-16,1.3115299907202408e-18,0.9991779191087216,0.0008220713713116664,9.519764958154271e-09
2011-01-01,3,0,0.00013996679618624155,1.0151804090033092e-22,5.012787067456824e-16,4.435614256915085e-22,0.9998523161708701,0.00013996679618624155,7.717032593393935e-06
2011-02-01,3,0,2.615075032269901e-07,5.502510470431007e-20,5.429781423643356e-12,3.12476693123077e-19,0.9998036911554683,2.615075032269901e-07,0.00019604733187758076
2011-03-01,3,0,9.458770410287993e-08,1.0735315865563432e-18,4.503575807796813e-12,8.65355472354522e-18,0.9993539101202581,9.458770410287993e-08,0.0006459952877139251
2011-04-01,3,0,6.096366785657638e-07,7.745436647846532e-19,1.6916634809671373e-10,5.1616441546007964e-17,0.9980163257416039,6.096366785657638e-07,0.00198306445299807
2011-05-01,3,0,1.9065261572846179e-06,4.7778067228246065e-18,4.862879387528444e-12,9.003361168077914e-16,0.999952298082457,1.9065261572846179e-06,4.579538623526059e-05
2011-06-01,3,0,9.480689533544502e-08,9.599768371881658e-19,2.7739925424364766e-13,1.4107473774112182e-17,0.9999104470799957,9.480689533544502e-08,8.945811281672739e-05
2011-07-01,3,0,6.425849437769604e-08,1.2316209323411104e-20,2.190115113003646e-12,2.144441090473632e-18,0.9998338422488441,6.425849437769604e-08,0.0001660934900513377
