gamma,regime_source,month,strategy,return,predicted_state
0.02,altdata_bnmeanrank_hmm,2014-12-01,SAA-CVaR,-0.011584086136042344,3
0.02,altdata_bnmeanrank_hmm,2014-12-01,DR-CVaR,-0.00020580170595841784,3
0.02,altdata_bnmeanrank_hmm,2014-12-01,RS-CVaR,-0.007723954067183623,3
0.02,altdata_bnmeanrank_hmm,2014-12-01,RSDR-CVaR,-2.3818168046110116e-06,3
0.02,altdata_bnmeanrank_hmm,2015-01-01,SAA-CVaR,0.001428190912976297,3
0.02,altdata_bnmeanrank_hmm,2015-01-01,DR-CVaR,-0.020239704221999357,3
0.02,altdata_bnmeanrank_hmm,2015-01-01,RS-CVaR,0.0005097240469860567,3
0.02,altdata_bnmeanrank_hmm,2015-01-01,RSDR-CVaR,-0.02177974785521153,3
0.02,altdata_bnmeanrank_hmm,2015-02-01,SAA-CVaR,0.04214375701088207,3
0.02,altdata_bnmeanrank_hmm,2015-02-01,DR-CVaR,0.04429309036917565,3
0.02,altdata_bnmeanrank_hmm,2015-02-01,RS-CVaR,0.03454970364868443,3
0.02,altdata_bnmeanrank_hmm,2015-02-01,RSDR-CVaR,0.046787111111111106,3
0.02,altdata_bnmeanrank_hmm,2015-03-01,SAA-CVaR,-0.006766301870664432,3
0.02,altdata_bnmeanrank_hmm,2015-03-01,DR-CVaR,-0.015125873904539098,3
0.02,altdata_bnmeanrank_hmm,2015-03-01,RS-CVaR,-0.00967223712476691,3
0.02,altdata_bnmeanrank_hmm,2015-03-01,RSDR-CVaR,-0.01819877777777778,3
0.02,altdata_bnmeanrank_hmm,2015-04-01,SAA-CVaR,-0.009216401058618534,3
0.02,altdata_bnmeanrank_hmm,2015-04-01,DR-CVaR,0.009907845689494495,3
0.02,altdata_bnmeanrank_hmm,2015-04-01,RS-CVaR,-0.00744208127974053,3
0.02,altdata_bnmeanrank_hmm,2015-04-01,RSDR-CVaR,0.011557904670945817,3
0.02,altdata_bnmeanrank_hmm,2015-05-01,SAA-CVaR,0.02649629861590558,3
0.02,altdata_bnmeanrank_hmm,2015-05-01,DR-CVaR,0.007445303452842571,3
0.02,altdata_bnmeanrank_hmm,2015-05-01,RS-CVaR,0.02211676837626164,3
0.02,altdata_bnmeanrank_hmm,2015-05-01,RSDR-CVaR,0.007437846115339393,3
0.02,altdata_bnmeanrank_hmm,2015-06-01,SAA-CVaR,-0.011176491534339349,3
0.02,altdata_bnmeanrank_hmm,2015-06-01,DR-CVaR,-0.024523859983281306,3
0.02,altdata_bnmeanrank_hmm,2015-06-01,RS-CVaR,-0.017075871532579917,3
0.02,altdata_bnmeanrank_hmm,2015-06-01,RSDR-CVaR,-0.025024116297757575,3
0.02,altdata_bnmeanrank_hmm,2015-07-01,SAA-CVaR,0.04353458253608179,3
0.02,altdata_bnmeanrank_hmm,2015-07-01,DR-CVaR,0.020157403423119648,3
0.02,altdata_bnmeanrank_hmm,2015-07-01,RS-CVaR,0.04634412633306963,3
0.02,altdata_bnmeanrank_hmm,2015-07-01,RSDR-CVaR,0.014951961388867532,3
0.02,altdata_bnmeanrank_hmm,2015-08-01,SAA-CVaR,-0.06943186869184995,3
0.02,altdata_bnmeanrank_hmm,2015-08-01,DR-CVaR,-0.05699951570586398,3
0.02,altdata_bnmeanrank_hmm,2015-08-01,RS-CVaR,-0.06477048977498744,3
0.02,altdata_bnmeanrank_hmm,2015-08-01,RSDR-CVaR,-0.0573722913092019,3
0.02,altdata_bnmeanrank_hmm,2015-09-01,SAA-CVaR,0.012866715242541099,3
0.02,altdata_bnmeanrank_hmm,2015-09-01,DR-CVaR,-0.021976843244452073,3
0.02,altdata_bnmeanrank_hmm,2015-09-01,RS-CVaR,0.010540986238247951,3
0.02,altdata_bnmeanrank_hmm,2015-09-01,RSDR-CVaR,-0.026182666666666677,3
0.02,altdata_bnmeanrank_hmm,2015-10-01,SAA-CVaR,0.04050794135555582,3
0.02,altdata_bnmeanrank_hmm,2015-10-01,DR-CVaR,0.07919257019411888,3
0.02,altdata_bnmeanrank_hmm,2015-10-01,RS-CVaR,0.04987884089140255,3
0.02,altdata_bnmeanrank_hmm,2015-10-01,RSDR-CVaR,0.0843254444444437,3
0.02,altdata_bnmeanrank_hmm,2015-11-01,SAA-CVaR,-0.013502694850702612,3
0.02,altdata_bnmeanrank_hmm,2015-11-01,DR-CVaR,-0.0010170835860885447,3
0.02,altdata_bnmeanrank_hmm,2015-11-01,RS-CVaR,-0.008678282846092907,3
0.02,altdata_bnmeanrank_hmm,2015-11-01,RSDR-CVaR,-0.000760222222222226,3
0.02,altdata_bnmeanrank_hmm,2015-12-01,SAA-CVaR,0.026292281235449327,3
0.02,altdata_bnmeanrank_hmm,2015-12-01,DR-CVaR,-0.017108936361803953,3
0.02,altdata_bnmeanrank_hmm,2015-12-01,RS-CVaR,0.018690367910652327,3
