gamma,regime_source,rebalance_month,strategy,success,objective,VaR_v,theta_used,robust_norm_value,robust_penalty_component,max_weight,effective_n_assets,predicted_state,predicted_state_prob,regime_weight_max,regime_weight_argmax,message,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0.06,altdata_bnmeanrank_hmm,2017-02-01,DR-CVaR,True,0.1764253439504962,0.07577529999999996,0.03717347197524814,0.1,0.07434694395049621,0.1,9.999999999999996,3,0.9996213175179618,0.988115860204754,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.1,0.1,0.09999999999999998,0.1,0.1,0.1,0.1,0.1,0.1
0.06,altdata_bnmeanrank_hmm,2017-02-01,RS-CVaR,True,0.04424247073434687,0.025836763752967964,0.0,1.0,0.0,0.510533209766282,2.9347534527954013,3,0.9996213175179618,0.988115860204754,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.1692458774807806,0.510533209766282,0.15049057857816758,0.16973033417476982,0.0
0.06,altdata_bnmeanrank_hmm,2017-02-01,RSDR-CVaR,True,0.13851826605410206,0.0448716,0.03842216194842168,0.1,0.07684432389684329,0.1,9.999999999999996,3,0.9996213175179618,0.988115860204754,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.09999999999999999,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.06,altdata_bnmeanrank_hmm,2017-03-01,SAA-CVaR,True,0.07222332707529935,0.04703974430210485,0.0,1.0,0.0,0.6443128499623921,1.8462024813922433,3,0.9995900029902662,0.9882205221288879,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.06,altdata_bnmeanrank_hmm,2017-03-01,DR-CVaR,True,0.1764253439504962,0.07577529999999996,0.03717347197524814,0.1,0.07434694395049621,0.1,9.999999999999996,3,0.9995900029902662,0.9882205221288879,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.1,0.1,0.09999999999999998,0.1,0.1,0.1,0.1,0.1,0.1
0.06,altdata_bnmeanrank_hmm,2017-03-01,RS-CVaR,True,0.04403251439384836,0.02432086691263797,0.0,1.0,0.0,0.49500412265564314,2.9895149808218777,3,0.9995900029902662,0.9882205221288879,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.1306320011431959,0.49500412265564314,0.15301715825579446,0.22134671794536656,0.0
0.06,altdata_bnmeanrank_hmm,2017-03-01,RSDR-CVaR,True,0.13825338943934548,0.0448716,0.03837868960478811,0.1,0.07675737920957615,0.1,9.999999999999996,3,0.9995900029902662,0.9882205221288879,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.06,altdata_bnmeanrank_hmm,2017-04-01,SAA-CVaR,True,0.07222332707529935,0.04703974430210485,0.0,1.0,0.0,0.6443128499623921,1.8462024813922433,3,0.9989322768754473,0.9877700128959694,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.0,0.6443128499623921,0.35568715003760787,0.0,0.0
0.06,altdata_bnmeanrank_hmm,2017-04-01,DR-CVaR,True,0.1764253439504962,0.07577529999999996,0.03717347197524814,0.1,0.07434694395049621,0.1,9.999999999999996,3,0.9989322768754473,0.9877700128959694,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.1,0.1,0.09999999999999998,0.1,0.1,0.1,0.1,0.1,0.1
0.06,altdata_bnmeanrank_hmm,2017-04-01,RS-CVaR,True,0.04392056433474644,0.02432086691263797,0.0,1.0,0.0,0.49500412265564314,2.9895149808218777,3,0.9989322768754473,0.9877700128959694,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,0.0,0.0,0.0,0.0,0.1306320011431959,0.49500412265564314,0.15301715825579446,0.22134671794536656,0.0
0.06,altdata_bnmeanrank_hmm,2017-04-01,RSDR-CVaR,True,0.13814263220408052,0.0448716,0.038339814555798754,0.1,0.07667962911159744,0.1,9.999999999999996,3,0.9989322768754473,0.9877700128959694,3,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
